Num: b0=0 b1=0 b2=1 b3=3d size=4
  SFBR  [ui8 ]  4 (bytes 04)
  SIS!  [hex_]  (bytes 00 00)
  SIT!  [hex_]  (bytes 00 00)
  SIU!  [hex_]  (bytes 00 00)
  SIV!  [hex_]  (bytes 00 00)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPS!  [hex_]  (bytes 00 00 00 00)
  SPT!  [hex_]  (bytes 00)
  Sr0P  [sp78]  (bytes 00 00)
  Sr0T  [sp78]  (bytes 5e 00)
  Sr1P  [sp78]  (bytes fd 00)
  Sr1T  [sp78]  (bytes 4c 00)
  Sr2P  [sp78]  (bytes fe 00)
  Sr2T  [sp78]  (bytes 31 00)
  Sw0P  [sp78]  (bytes 00 00)
  Sw0T  [sp78]  (bytes 62 00)
  Sw1P  [sp78]  (bytes fe 00)
  Sw1T  [sp78]  (bytes 34 00)
  Sw2P  [sp78]  (bytes 00 00)
  Sw2T  [sp78]  (bytes 04 ba)
  TA0P  [sp78]  (bytes 2e 20)
  TA0p  [sp78]  (bytes 2e 20)
  TA1P  [sp78]  (bytes 30 e0)
  TA1p  [sp78]  (bytes 30 e0)
  TC0C  [sp78]  (bytes 4d 00)
  TC0D  [sp78]  (bytes 44 a0)
  TC0E  [sp78]  (bytes 42 93)
  TC0F  [sp78]  (bytes 45 48)
  TC0G  [sp78]  (bytes 5e 00)
  TC0J  [sp78]  (bytes 02 b5)
  TC0P  [sp78]  (bytes 37 a0)
  TC0c  [sp78]  (bytes 4d 00)
  TC0d  [sp78]  (bytes 44 a0)
  TC0p  [sp78]  (bytes 37 a0)
  TC1C  [sp78]  (bytes 4c 00)
  TC1c  [sp78]  (bytes 4c 00)
  TCFC  [ui16]  4 (bytes 00 04)
  TCGC  [sp78]  (bytes 4c 00)
  TCGc  [sp78]  (bytes 4c 00)
  TCPG  [sp78]  (bytes 62 00)
  TCSC  [sp78]  (bytes 43 00)
  TCSc  [sp78]  (bytes 43 00)
  TCTD  [sp78]  (bytes 00 b5)
  TCXC  [sp78]  (bytes 49 b8)
  TCXc  [sp78]  (bytes 49 b8)
  TG0D  [sp78]  (bytes 36 a0)
  TG0M  [sp78]  (bytes 36 a0)
  TG0P  [sp78]  (bytes 37 40)
  TG0d  [sp78]  (bytes 36 a0)
  TG0p  [sp78]  (bytes 37 40)
  TG1D  [sp78]  (bytes 3e 12)
  TG1d  [sp78]  (bytes 3e 12)
  TI0P  [sp78]  (bytes 37 20)
  TI0p  [sp78]  (bytes 37 20)
  TM0P  [sp78]  (bytes 37 20)
  TM0S  [sp78]  (bytes 38 45)
  TM0p  [sp78]  (bytes 37 20)
  TMBS  [sp78]  (bytes 32 00)
  TP0P  [sp78]  (bytes 38 60)
  TP0p  [sp78]  (bytes 38 60)
  TPCD  [sp78]  (bytes 3d 00)
  TPCd  [ui16]  61 (bytes 00 3d)
  TW0P  [sp78]  (bytes 2b e0)
  TW0p  [sp78]  (bytes 2b e0)
  Tp0C  [sp78]  (bytes 29 31)
  Ts0G  [sp78]  (bytes 31 00)
  Ts0S  [sp78]  (bytes 25 26)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp1e]  (bytes 40 25)
  VC0Z  [sp1e]  (bytes 32 53)
  VC0c  [ui16]  0 (bytes 3d 00)
  VC2C  [sp0f]  (bytes 74 4c)
  VC2c  [ui16]  128 (bytes 46 80)
  VD0R  [sp4b]  (bytes 5f 07)
  VD0Z  [sp4b]  (bytes 5f 49)
  VD0r  [ui16]  64 (bytes 9a 40)
  VG0C  [sp1e]  (bytes 39 f3)
  VG0c  [ui16]  0 (bytes 46 00)
  VN0R  [sp1e]  (bytes 1c ab)
  VN0r  [ui16]  192 (bytes 22 c0)
  Vp0C  [sp2d]  (bytes 4b 9d)
  Vp0c  [ui16]  192 (bytes b7 c0)
  WVr0  [ui8 ]  255 (bytes ff)
  WVw0  [ui8 ]  255 (bytes ff)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
