Num: b0=0 b1=0 b2=1 b3=43 size=4
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPS!  [hex_]  (bytes 00 00 00 00)
  SPT!  [hex_]  (bytes 00)
  SS0F  [sp78]  (bytes 2a 00)
  SS0W  [sp78]  (bytes 2f 00)
  SWER  [hex_]  (bytes 00)
  TB0T  [sp78]  (bytes 1a 4c)
  TB1T  [sp78]  (bytes 1a 19)
  TB2T  [sp78]  (bytes 1a 4c)
  TC0D  [sp78]  (bytes 2c a0)
  TC0E  [sp78]  (bytes 29 8a)
  TC0P  [sp78]  (bytes 24 20)
  TC1E  [sp78]  (bytes 2a 1d)
  TCZ3  [sp78]  (bytes ff cd)
  TCZ4  [sp78]  (bytes 00 0d)
  TCZ5  [sp78]  (bytes 03 16)
  TG0E  [sp78]  (bytes 30 91)
  TG1E  [sp78]  (bytes 30 a3)
  TG2E  [sp78]  (bytes 2f c7)
  TGZ3  [sp78]  (bytes ff f9)
  TGZ4  [sp78]  (bytes 00 03)
  TGZ5  [sp78]  (bytes 00 00)
  TH0F  [sp78]  (bytes f9 77)
  TH0O  [sp78]  (bytes f9 00)
  TH0o  [hex_]  (bytes 07)
  TM0P  [sp78]  (bytes 22 80)
  TN0D  [sp78]  (bytes 28 60)
  TN0P  [sp78]  (bytes 25 00)
  TN1D  [sp78]  (bytes 2f 00)
  Th1H  [sp78]  (bytes 1c b0)
  Tp0P  [sp78]  (bytes 1e c0)
  Ts0P  [sp78]  (bytes 1a 70)
  Ts0S  [sp78]  (bytes 1c 61)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp1e]  (bytes 3c 10)
  VC0c  [ui16]  192 (bytes 48 c0)
  VD0R  [sp5a]  (bytes 00 00)
  VN0C  [sp1e]  (bytes 3c 13)
  VN0c  [ui16]  192 (bytes 48 c0)
  VN1C  [sp5a]  (bytes 05 66)
  VP0R  [sp4b]  (bytes 3a be)
  VP0r  [ui16]  0 (bytes 5f 00)
  VZAP  [sp5a]  (bytes 0d 33)
  VZBL  [sp69]  (bytes 2f b3)
  VZBl  [ui16]  0 (bytes 53 00)
  VZDM  [sp5a]  (bytes 05 66)
  VZHD  [sp5a]  (bytes 0d 33)
  WKEN  [ui8 ]  (bytes 00)
  WKTP  [ui8 ]  0 (bytes 00)
  WVr0  [ui8 ]  0 (bytes 00)
  WVw0  [ui8 ]  0 (bytes 00)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
