Num: b0=0 b1=0 b2=3 b3=5a size=4
  IG1c  [ui16]  14 (bytes 00 0e)
  IG2C  [flt ]  (bytes 00 00 00 00)
  IG2c  [ui16]  14 (bytes 00 0e)
  IG3C  [flt ]  (bytes 00 00 00 00)
  IG3c  [ui16]  134 (bytes 00 86)
  IG4C  [flt ]  (bytes 00 00 00 00)
  IG4c  [ui16]  7 (bytes 00 07)
  IHDC  [flt ]  (bytes 00 00 00 00)
  IHDc  [ui16]  1 (bytes 00 01)
  IIDC  [flt ]  (bytes 00 00 00 00)
  IKBC  [flt ]  (bytes 00 00 00 00)
  ILDC  [flt ]  (bytes 00 00 00 00)
  IM0C  [flt ]  (bytes 00 00 00 00)
  IM0c  [ui16]  12 (bytes 00 0c)
  IMCC  [flt ]  (bytes 00 00 00 00)
  IO3R  [flt ]  (bytes 00 00 00 00)
  IO5R  [flt ]  (bytes 00 00 00 00)
  IPBR  [flt ]  (bytes f1 e7 ea 3f)
  IPBr  [ui16]  98 (bytes 01 62)
  IT3C  [flt ]  (bytes 00 00 00 00)
  ITAR  [flt ]  (bytes 00 00 00 00)
  IULC  [flt ]  (bytes 00 00 00 00)
  IURC  [flt ]  (bytes 00 00 00 00)
  KDD0  [hex_]  (bytes 52 03 d6 23 96 d3 07 f1 5d 9d e5 f4 ae 93 56 0f fe e4 eb d7 4a ea 4b 77 47 5e 24 14 00 00 67 85)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 8f ac 00 00 00 00 a1 3b 10 0d 74 73 00 00 00 00 0d 78 00 00 00 00 e4 81 00 00)
  KDFT  [ui8 ]  4 (bytes 04)
  KDTP  [ui8 ]  1 (bytes 01)
  KINC  [ui16]  221 (bytes 05 dd)
  KINV  [ch8*]  (bytes 4c 4b 53 42)
  KINX  [hex_]  (bytes 4c 4b 53 42)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  203 (bytes fe cb)
  LC2E  [ui16]  203 (bytes fe cb)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  33 (bytes 21)
  LCCQ  [ui8 ]  202 (bytes ca)
  LCKA  [ui8 ]  210 (bytes d2)
  LCKN  [ui8 ]  80 (bytes 50)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  75 (bytes 4b)
  LCTN  [ui8 ]  164 (bytes a4)
  LCTQ  [ui8 ]  212 (bytes d4)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  1 (bytes 01)
