PM ASL data store: /var/log/powermanagement
2020-01-14 12:40:50 +0100 ShutdownCause       	SMC shutdown cause: 0: Battery disconnected                                	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context133.preventuseridledisplaysleep" 00:06:12  id:0x0x50000810e [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context133.preventuseridlesleep" 00:06:12  id:0x0x10000810d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context134.preventuseridledisplaysleep" 00:06:12  id:0x0x500008112 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context134.preventuseridlesleep" 00:06:12  id:0x0x100008111 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context135.preventuseridledisplaysleep" 00:06:12  id:0x0x500008116 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context135.preventuseridlesleep" 00:06:12  id:0x0x100008115 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context136.preventuseridledisplaysleep" 00:06:12  id:0x0x50000811a [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context136.preventuseridlesleep" 00:06:12  id:0x0x100008119 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context137.preventuseridledisplaysleep" 00:06:12  id:0x0x50000811e [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context137.preventuseridlesleep" 00:06:12  id:0x0x10000811d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:33 +0100 Assertions          	PID 970(UserEventAgent) Released BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.ZoneSubscriptionRegistration" 00:01:57  id:0x0xb00008280 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:34 +0100 Assertions          	PID 1322(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x50000848d [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:34 +0100 Assertions          	PID 1322(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x50000848d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:42 +0100 Assertions          	PID 1362(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008529 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:42 +0100 Assertions          	PID 1362(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008529 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:50:51 +0100 Assertions          	PID 178(coreaudiod) TurnedOn PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000085c8 [System: PrevIdle PrevDisp DeclUser IntPrevDisp IPushSrvc kCPU kDisp]          
2020-01-14 12:50:52 +0100 Assertions          	PID 178(coreaudiod) TurnedOff PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000085c8 [System: PrevIdle DeclUser IntPrevDisp IPushSrvc kCPU kDisp]          
2020-01-14 12:51:05 +0100 Assertions          	PID 123(CSCSupportd) TimedOut UserIsActive "com.apple.CSCSupport.disablesleep" 00:10:14  id:0x0x900008000 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:51:05 +0100 Assertions          	Summary- [System: PrevIdle DeclUser IntPrevDisp kDisp] Using AC          
2020-01-14 12:53:04 +0100 Assertions          	PID 1005(backupd) ClientDied PreventUserIdleSystemSleep "Time Machine backup" 00:04:32  id:0x0x10000823c [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:53:04 +0100 Assertions          	PID 1005(backupd) ClientDied BackgroundTask "Time Machine backup" 00:04:32  id:0x0xb0000823b [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:55:52 +0100 Assertions          	PID 94(powerd) TimedOut InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:05:00  id:0x0x1000008004 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 13:00:44 +0100 Assertions          	PID 1090(sharingd) Released PreventUserIdleSystemSleep "Handoff" 00:05:57  id:0x0x100008840 [System: DeclUser kDisp]          
2020-01-14 13:00:58 +0100 Assertions          	PID 1598(studentd) Created NetworkClientActive "studentd:1598:CRKNetworkPowerAssertion:0x7fc922501670" 00:00:00  id:0x0x1100008914 [System: DeclUser NetAcc kCPU kDisp]          
2020-01-14 13:00:58 +0100 Assertions          	PID 1602(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008915 [System: PrevDisp DeclUser NetAcc kCPU kDisp]          
2020-01-14 13:00:58 +0100 Assertions          	PID 94(powerd) TurnedOn InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x1000008004 [System: PrevDisp DeclUser IntPrevDisp NetAcc kCPU kDisp]          
2020-01-14 13:00:58 +0100 Assertions          	PID 1602(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008915 [System: DeclUser IntPrevDisp NetAcc kCPU kDisp]          
2020-01-14 13:01:04 +0100 Assertions          	PID 1598(studentd) Released NetworkClientActive "studentd:1598:CRKNetworkPowerAssertion:0x7fc922501670" 00:00:06  id:0x0x1100008914 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context190.preventuseridledisplaysleep" 00:03:30  id:0x0x5000088c7 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context190.preventuseridlesleep" 00:03:30  id:0x0x1000088c6 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context191.preventuseridledisplaysleep" 00:03:30  id:0x0x5000088cb [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context191.preventuseridlesleep" 00:03:30  id:0x0x1000088ca [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context192.preventuseridledisplaysleep" 00:03:30  id:0x0x5000088cf [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context192.preventuseridlesleep" 00:03:30  id:0x0x1000088ce [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context193.preventuseridledisplaysleep" 00:03:30  id:0x0x5000088d3 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:01:10 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context193.preventuseridlesleep" 00:03:30  id:0x0x1000088d2 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:03 +0100 Assertions          	PID 1598(studentd) Created NetworkClientActive "studentd:1598:CRKNetworkPowerAssertion:0x7fc922501670" 00:00:00  id:0x0x11000089bb [System: DeclUser IntPrevDisp NetAcc kCPU kDisp]          
2020-01-14 13:03:03 +0100 Assertions          	PID 4185(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000089bc [System: PrevDisp DeclUser IntPrevDisp NetAcc kCPU kDisp]          
