PM ASL data store: /var/log/powermanagement
2021-02-01 21:13:49 +0100 ShutdownCause       	SMC shutdown cause: 1: Normal warm reset                                   	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2021-02-01 21:26:34 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ad [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:34 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ad [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:37 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ae [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:37 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ae [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:41 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082af [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:41 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082af [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:44 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b0 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:44 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b0 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:44 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b1 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:44 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b1 [System: DeclUser BGTask kDisp]          
