Num: b0=0 b1=0 b2=2 b3=ffffff9e size=4
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  25 (bytes af 19)
  LC2E  [ui16]  25 (bytes af 19)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  176 (bytes b0)
  LCCQ  [ui8 ]  208 (bytes d0)
  LCKA  [ui8 ]  17 (bytes 11)
  LCKN  [ui8 ]  97 (bytes 61)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  211 (bytes d3)
  LCTN  [ui8 ]  163 (bytes a3)
  LCTQ  [ui8 ]  211 (bytes d3)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  1 (bytes 01)
  LDSP  [flag]  (bytes 00)
  LDSS  [sp78]  (bytes 00 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  15 (bytes 00 00 21 0f)
  LKSB  [{lkb]  (bytes 00 00)
  LKSS  [{lks]  (bytes 00 00)
  LPMC  [ui32]  173 (bytes 00 2c a4 ad)
  LTC0  [ui32]  120 (bytes 00 00 00 78)
  LTC1  [ui32]  31 (bytes 00 00 00 1f)
  LTC2  [ui32]  14 (bytes 00 00 00 0e)
  LTC3  [ui32]  2 (bytes 00 00 00 02)
  LTC4  [ui32]  0 (bytes 00 00 00 00)
  LTC5  [ui32]  0 (bytes 00 00 00 00)
  LTL0  [flt ]  (bytes 00 00 90 40)
  LTL1  [flt ]  (bytes 00 00 a0 40)
  LTL2  [flt ]  (bytes 00 00 b0 40)
  LTL3  [flt ]  (bytes 00 00 c0 40)
  LTL4  [flt ]  (bytes 00 00 d0 40)
  LTL5  [flt ]  (bytes 00 00 e0 40)
  LTZC  [ui8 ]  0 (bytes 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MD0R  [ui8 ]  0 (bytes 00)
  MD0W  [ui8 ]  0 (bytes 00)
  MDr!  [ui8 ]  0 (bytes 00)
  MDw!  [ui8 ]  0 (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAj  [fp88]  (bytes 00 00)
  MSBC  [ui16]  157 (bytes 58 9d)
  MSBP  [ui16]  205 (bytes 0a cd)
  MSBc  [ui16]  200 (bytes 1d c8)
  MSBp  [ui16]  229 (bytes 0b e5)
  MSC0  [ui32]  142 (bytes 00 00 09 8e)
  MSDW  [flag]  (bytes 00)
  MSEP  [flag]  (bytes 00)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSFW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSLB  [flt ]  (bytes 00 00 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSLT  [flt ]  (bytes 00 00 00 00)
  MSLU  [flt ]  (bytes 00 00 00 00)
  MSMD  [ui8 ]  2 (bytes 02)
  MSMF  [ui8 ]  3 (bytes 03)
  MSMN  [ui8 ]  0 (bytes 00)
  MSN0  [ui16]  4 (bytes 00 04)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  20 (bytes 14)
  MSPI  [ui8 ]  12 (bytes 0c)
  MSPP  [ui8 ]  0 (bytes 00)
  MSPR  [ui16]  1 (bytes 00 01)
  MSPS  [hex_]  (bytes 00 03)
  MSPT  [ui8 ]  24 (bytes 18 0c 10 09 00)
  MSQC  [hex_]  (bytes 00 00)
  MSQL  [ui8 ]  2 (bytes 02)
  MSQM  [ui8 ]  4 (bytes 04)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQS  [flag]  (bytes 00)
  MSQW  [ui16]  105 (bytes 01 69)
  MSRC  [ui32]  0 (bytes 00 00 00 00)
  MSSD  [si8 ]  (bytes 03)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSSW  [flag]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
