Num: b0=0 b1=0 b2=1 b3=7c size=4
  SPT!  [hex_]  (bytes 00)
  SWER  [hex_]  (bytes 00)
  Sr0P  [sp78]  (bytes fe 00)
  Sr0T  [sp78]  (bytes 31 00)
  Sr1P  [sp78]  (bytes f8 00)
  Sr1T  [sp78]  (bytes 5d 00)
  Sw0P  [sp78]  (bytes 00 00)
  Sw0T  [sp78]  (bytes 38 80)
  Sw1P  [sp78]  (bytes fe 00)
  Sw1T  [sp78]  (bytes 34 00)
  Sw2P  [sp78]  (bytes 00 00)
  Sw2T  [sp78]  (bytes 62 00)
  Sw3P  [sp78]  (bytes 00 00)
  Sw3T  [sp78]  (bytes 37 cb)
  Sw4P  [sp78]  (bytes 00 00)
  Sw4T  [sp78]  (bytes 37 cb)
  TB0T  [sp78]  (bytes 21 e6)
  TB1T  [sp78]  (bytes 21 e6)
  TB2T  [sp78]  (bytes 20 b3)
  TC0C  [sp78]  (bytes 4e 68)
  TC0D  [sp78]  (bytes 4a 20)
  TC0E  [sp78]  (bytes 4f d1)
  TC0F  [sp78]  (bytes 51 07)
  TC0J  [sp78]  (bytes 01 36)
  TC0P  [sp78]  (bytes 44 60)
  TC1C  [sp78]  (bytes 4c 00)
  TC2C  [sp78]  (bytes 4d 00)
  TCFC  [ui16]  32 (bytes 00 20)
  TCGC  [sp78]  (bytes 4d 00)
  TCSA  [sp78]  (bytes 4b 00)
  TCTD  [sp78]  (bytes ff f8)
  TM0P  [sp78]  (bytes 31 60)
  TM0S  [sp78]  (bytes 3c 0d)
  TMBS  [sp78]  (bytes 00 00)
  TP0P  [sp78]  (bytes 35 a0)
  TPCD  [sp78]  (bytes 3f 00)
  TW0P  [sp78]  (bytes 81 00)
  Th1H  [sp78]  (bytes 34 60)
  Ts0P  [sp78]  (bytes 1f e0)
  Ts0S  [sp78]  (bytes 2f b4)
  UPRC  [ui16]  69 (bytes 08 45)
  VC0C  [sp3c]  (bytes 11 1c)
  VC0c  [ui16]  64 (bytes 41 40)
  VD0R  [sp5a]  (bytes 42 62)
  VD0r  [ui16]  0 (bytes d9 00)
  VN0R  [sp3c]  (bytes 07 66)
  VN0r  [ui16]  0 (bytes 23 00)
  VP0R  [sp4b]  (bytes 64 58)
  VP0r  [ui16]  64 (bytes a2 40)
  WKEN  [ui8 ]  (bytes 00)
  WVr0  [ui8 ]  0 (bytes 00)
  WVw0  [ui8 ]  255 (bytes ff)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
