Num: b0=0 b1=0 b2=2 b3=ffffffbd size=4
  MSPR  [ui16]  1 (bytes 00 01)
  MSPS  [hex_]  (bytes 00 01)
  MSPT  [hex_]  (bytes 0d 0c 00 00 00)
  MSQC  [hex_]  (bytes 00 00)
  MSQL  [ui8 ]  2 (bytes 02)
  MSQM  [ui8 ]  4 (bytes 04)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQS  [flag]  (bytes 00)
  MSQW  [ui16]  154 (bytes 00 9a)
  MSRC  [ui32]  0 (bytes 00 00 00 00)
  MSSD  [si8 ]  (bytes 05)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSSW  [flag]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
  MSTQ  [flag]  (bytes 00)
  MSTS  [ui8 ]  12 (bytes 0c)
  MSTW  [hex_]  (bytes 00)
  MSTc  [ui8 ]  128 (bytes 80)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  128 (bytes 80)
  MSTj  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 00 00)
  MSWE  [ui8 ]  0 (bytes 00)
  MSWF  [ui16]  232 (bytes 03 e8)
  MSWO  [ui16]  232 (bytes 03 e8)
  MSWP  [ui8 ]  0 (bytes 00)
  MSWd  [flag]  (bytes 00)
  MSWo  [flag]  (bytes 01)
  MSWr  [ui8 ]  0 (bytes 00)
  MSX0  [ui16]  30 (bytes 30 1e)
  MSX2  [ui8 ]  12 (bytes 0c)
  MSX9  [ui8 ]  48 (bytes 30)
  MSXA  [ch8*]  (bytes 50 53 54 52)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXH  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d e8 ef 00)
  MSXL  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXN  [ui8 ]  31 (bytes 1f)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXT  [ui32]  255 (bytes ff ff ff ff)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXh  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXl  [ch8*]  (bytes 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  59 (bytes 3b)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSXt  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSaw  [ui8 ]  0 (bytes 00)
  MSbo  [flag]  (bytes 01)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MT0c  [flt ]  (bytes 00 00 00 00)
  MT0g  [flt ]  (bytes 00 00 00 00)
  MT0t  [flt ]  (bytes 00 00 00 00)
  MT1c  [flt ]  (bytes 00 00 00 00)
  MT1g  [flt ]  (bytes 00 00 00 00)
  MT1t  [flt ]  (bytes 00 00 00 00)
  MT2c  [flt ]  (bytes 00 00 00 00)
  MT2g  [flt ]  (bytes 00 00 00 00)
  MT2t  [flt ]  (bytes 00 00 00 00)
  MT3c  [flt ]  (bytes 00 00 00 00)
  MT3g  [flt ]  (bytes 00 00 00 00)
  MT3t  [flt ]  (bytes 00 00 00 00)
  MTBc  [flt ]  (bytes 00 00 00 00)
  MTBg  [flt ]  (bytes 00 00 00 00)
  MTBt  [flt ]  (bytes 00 00 00 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui16]  0 (bytes 00 00)
  OOBR  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [hex_]  (bytes 00 00)
  OOBW  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSSS  [hex_]  (bytes 00 53 34 3a 52 65 73 75 6d 65 45 6e 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  26 (bytes 00 1a)
  P33C  [flt ]  (bytes 00 00 00 00)
  P50C  [flt ]  (bytes 00 00 00 00)
  PAPC  [flt ]  (bytes 00 00 00 00)
  PB0L  [flt ]  (bytes 00 00 00 00)
  PBLR  [flt ]  (bytes 00 00 00 00)
  PC0R  [flt ]  (bytes eb a1 19 41)
  PCAM  [flt ]  (bytes 00 00 00 00)
  PCGM  [flt ]  (bytes 00 00 00 00)
  PCIC  [flt ]  (bytes 00 00 00 00)
  PCPC  [sp78]  (bytes 05 f7)
  PCPG  [sp78]  (bytes 00 18)
  PCPT  [sp78]  (bytes 07 68)
  PCSC  [flt ]  (bytes 00 00 00 00)
  PCUC  [flt ]  (bytes 00 00 00 00)
  PD0R  [flt ]  (bytes 00 00 00 00)
  PHCC  [flt ]  (bytes 00 00 00 00)
  PHNC  [flt ]  (bytes 00 00 00 00)
  PLDC  [flt ]  (bytes 00 00 00 00)
  PM0C  [flt ]  (bytes 00 00 00 00)
  PM1C  [flt ]  (bytes 00 00 00 00)
  PO0R  [flt ]  (bytes 70 67 15 3f)
  PPBR  [flt ]  (bytes 1b 43 48 41)
  PSCC  [flt ]  (bytes 00 00 00 00)
  PSTR  [sp78]  (bytes 09 7b)
  PZ0E  [flt ]  (bytes 00 00 40 41)
