Num: b0=0 b1=0 b2=3 b3=59 size=4
  D2in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3BD  [ui8 ]  0 (bytes 00)
  D3BI  [ui16]  0 (bytes 00 00)
  D3CA  [ui16]  0 (bytes 00 00)
  D3CD  [ui16]  0 (bytes 00 00)
  D3CR  [ui16]  0 (bytes 00 00)
  D3Ca  [ui8 ]  0 (bytes 00)
  D3Cb  [ui8 ]  0 (bytes 00)
  D3Cc  [ui16]  0 (bytes 00 00)
  D3Ci  [ui16]  0 (bytes 00 00)
  D3Cm  [ui16]  1 (bytes 00 01)
  D3Cn  [ui16]  0 (bytes 00 00)
  D3Cr  [ui16]  0 (bytes 00 00)
  D3Cs  [ui16]  0 (bytes 00 00)
  D3Cv  [ui16]  0 (bytes 00 00)
  D3Cw  [ui16]  0 (bytes 00 00)
  D3DA  [hex_]  (bytes 00 40)
  D3DE  [ui8 ]  0 (bytes 00)
  D3DI  [ui8 ]  1 (bytes 01)
  D3DP  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  D3DR  [flag]  (bytes 01)
  D3FC  [ui32]  0 (bytes 00 00 00 00)
  D3FV  [hex_]  (bytes 00 06 96 00)
  D3IC  [ui16]  255 (bytes ff ff)
  D3IR  [ui16]  0 (bytes 00 00)
  D3JA  [ui32]  76 (bytes 00 00 1d 4c)
  D3JB  [ui32]  76 (bytes 00 00 1d 4c)
  D3JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 1d 4c 1d 4c 00 00 00 00 1d 4c 00 00 00)
  D3JR  [si32]  (bytes 4c 1d 00 00)
  D3JS  [si32]  (bytes 4c 1d 00 00)
  D3LR  [ui8 ]  0 (bytes 00)
  D3PI  [si8 ]  (bytes 00)
  D3PT  [ui8 ]  0 (bytes 00)
  D3ST  [ui8 ]  0 (bytes 00)
  D3St  [hex_]  (bytes 00 00)
  D3VC  [ui16]  0 (bytes 00 00)
  D3VD  [flt ]  (bytes 00 00 00 00)
  D3VM  [ui16]  0 (bytes 00 00)
  D3VR  [ui16]  0 (bytes 00 00)
  D3VX  [ui16]  0 (bytes 00 00)
  D3if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D3ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D3ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4BD  [ui8 ]  0 (bytes 00)
  D4BI  [ui16]  0 (bytes 00 00)
  D4CA  [ui16]  0 (bytes 00 00)
  D4CD  [ui16]  0 (bytes 00 00)
  D4CR  [ui16]  0 (bytes 00 00)
  D4Ca  [ui8 ]  0 (bytes 00)
  D4Cb  [ui8 ]  0 (bytes 00)
  D4Cc  [ui16]  0 (bytes 00 00)
  D4Ci  [ui16]  0 (bytes 00 00)
  D4Cm  [ui16]  1 (bytes 00 01)
  D4Cn  [ui16]  0 (bytes 00 00)
  D4Cr  [ui16]  0 (bytes 00 00)
  D4Cs  [ui16]  0 (bytes 00 00)
  D4Cv  [ui16]  0 (bytes 00 00)
  D4Cw  [ui16]  0 (bytes 00 00)
  D4DA  [hex_]  (bytes 00 4e)
  D4DE  [ui8 ]  0 (bytes 00)
  D4DI  [ui8 ]  1 (bytes 01)
  D4DP  [hex_]  (bytes 00 00 00 00 00 00 00 00)
  D4DR  [flag]  (bytes 01)
  D4FC  [ui32]  0 (bytes 00 00 00 00)
  D4FV  [hex_]  (bytes 00 06 96 00)
  D4IC  [ui16]  255 (bytes ff ff)
  D4IR  [ui16]  0 (bytes 00 00)
  D4JA  [ui32]  76 (bytes 00 00 1d 4c)
  D4JB  [ui32]  76 (bytes 00 00 1d 4c)
  D4JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 1d 4c 1d 4c 00 00 00 00 1d 4c 00 00 00)
  D4JR  [si32]  (bytes 4c 1d 00 00)
  D4JS  [si32]  (bytes 4c 1d 00 00)
  D4LR  [ui8 ]  0 (bytes 00)
  D4PI  [si8 ]  (bytes 00)
  D4PT  [ui8 ]  0 (bytes 00)
  D4ST  [ui8 ]  0 (bytes 00)
  D4St  [hex_]  (bytes 00 00)
  D4VC  [ui16]  0 (bytes 00 00)
  D4VD  [flt ]  (bytes 00 00 00 00)
  D4VM  [ui16]  0 (bytes 00 00)
  D4VR  [ui16]  0 (bytes 00 00)
  D4VX  [ui16]  0 (bytes 00 00)
  D4if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D4ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D4ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D4in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
