Num: b0=0 b1=0 b2=2 b3=61 size=4
  PCTR  [sp96]  (bytes 08 3a)
  PD2R  [sp96]  (bytes 10 43)
  PDTR  [sp96]  (bytes 10 43)
  PDTx  [sp96]  (bytes 00 00)
  PH0F  [sp78]  (bytes 00 00)
  PH1F  [sp78]  (bytes 00 00)
  PH1R  [sp96]  (bytes 00 00)
  PM0R  [sp96]  (bytes 00 1e)
  PR35  [sp96]  (bytes 00 1d)
  PR54  [sp96]  (bytes 00 c3)
  PSTR  [sp96]  (bytes 10 43)
  PZ0E  [flt ]  (bytes 00 00 b4 42)
  PZ0F  [flt ]  (bytes 10 30 22 42)
  PZ0G  [flt ]  (bytes 80 af 03 42)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ5E  [flt ]  (bytes 00 00 3e 43)
  PZ5F  [flt ]  (bytes e6 11 9b 42)
  PZ5G  [flt ]  (bytes 47 de 96 42)
  PZ5T  [flt ]  (bytes 00 00 00 00)
  PfCP  [sp96]  (bytes 08 b1)
  PfCT  [sp96]  (bytes 0a 75)
  PfH1  [sp96]  (bytes 00 00)
  PfM0  [sp96]  (bytes 00 25)
  PfST  [sp96]  (bytes 12 63)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 00 00)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes ff)
  QCLA  [flt ]  (bytes 00 00 00 00)
  QCLE  [flt ]  (bytes 00 00 00 00)
  QCLV  [ui8 ]  0 (bytes 00)
  QCLa  [si8 ]  (bytes ff)
  QCLv  [flt ]  (bytes 00 00 00 00)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  0 (bytes 00)
  QECS  [ui8 ]  0 (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes 00 00 00 00)
  QILV  [ui8 ]  0 (bytes 00)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 00 00 00 00)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBr   [ch8*]  (bytes 6a 39 34 00 00 00 00 00)
  REV   [{rev]  (bytes 02 32 0f 00 00 19)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 39 34 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 32 0f 00 00 19)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 32 0f 00 00 19)
  SAS!  [hex_]  (bytes 00 30 0f cf)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 5c 7f e0)
  SBFE  [flag]  (bytes 01)
  SBFF  [hex_]  (bytes 00 00 00 00)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 7e 18)
  SBFV  [hex_]  (bytes 01 a3 80 0f)
  SC0F  [sp78]  (bytes fc 00)
  SC0W  [sp78]  (bytes fe 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 69 00)
  SDAS  [ui16]  0 (bytes 00 00)
  SDPE  [ui8 ]  0 (bytes 00)
  SECD  [flag]  (bytes 00)
  SECN  [ch8*]  (bytes b8 20 e3 fc 62 d5 f7 fa 35 24 ba 1e 0a 20 6c 5c d3 7f d5 2e 37 71 b0 0e 0a f4 bc f2 8a d7 00 fe)
  SECS  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SECl  [flag]  (bytes 00)
  SECs  [flag]  (bytes 00)
  SFBR  [ui8 ]  6 (bytes 06)
  SH0F  [sp78]  (bytes 06 00)
  SH0W  [sp78]  (bytes ff 00)
  SH1F  [sp78]  (bytes 0f 00)
  SH1W  [sp78]  (bytes ff 00)
  SIP   [ui8 ]  1 (bytes 01)
  SIPB  [flag]  (bytes 00)
  SIS!  [hex_]  (bytes 00 00 00 00)
  SIT!  [hex_]  (bytes 00 00 00 00)
  SIU!  [hex_]  (bytes 00 00 00 00)
  SM0F  [sp78]  (bytes 53 00)
  SM0W  [sp78]  (bytes 59 00)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  0 (bytes 00)
  SPP!  [hex_]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  SRT!  [hex_]  (bytes 00 00 00 00)
  SS0F  [sp78]  (bytes 32 00)
  SS0W  [sp78]  (bytes 34 00)
  STDK  [ui16]  0 (bytes 00 00)
  STFD  [flag]  (bytes 00)
  Sp2F  [sp78]  (bytes 5a 00)
  Sp2P  [sp78]  (bytes 61 00)
  Sp2S  [sp78]  (bytes 66 00)
  Sp2W  [sp78]  (bytes 5c 00)
  SpCC  [fp6a]  (bytes 3d ec)
  SpCI  [ui8 ]  14 (bytes 0e)
  SpCP  [fp6a]  (bytes 41 45)
  SpCS  [si16]  (bytes 05 9e)
  SpCT  [fpc4]  (bytes 0e fa)
  TA0P  [sp78]  (bytes 0f e0)
  TA0V  [sp78]  (bytes 1c d9)
  TA0p  [sp78]  (bytes 23 e0)
  TC0E  [sp78]  (bytes e0 82)
  TC0F  [sp78]  (bytes e1 c9)
  TC0J  [sp78]  (bytes 01 47)
  TC0L  [ui16]  32 (bytes 00 20)
  TC0P  [sp78]  (bytes 39 80)
  TC0T  [sp78]  (bytes ff b7)
  TC0c  [sp78]  (bytes 42 00)
  TC0p  [sp78]  (bytes 39 80)
  TC1c  [sp78]  (bytes 3f 00)
  TC2c  [sp78]  (bytes 3e 00)
  TC3c  [sp78]  (bytes 3d 00)
  TCGc  [sp78]  (bytes 3d 00)
  TCSc  [sp78]  (bytes 41 00)
  TCXR  [sp78]  (bytes da c0)
  TCXc  [sp78]  (bytes 43 c0)
  TCXr  [sp78]  (bytes da c0)
  TH0A  [sp78]  (bytes 81 00)
  TH0B  [sp78]  (bytes 81 00)
  TH0C  [sp78]  (bytes 81 00)
  TH0F  [sp78]  (bytes 81 00)
