Num: b0=0 b1=0 b2=1 b3=ffffffef size=4
  SIT!  [hex_]  (bytes 00 00 00 00)
  SIU!  [hex_]  (bytes 00 00 00 00)
  SL0F  [sp78]  (bytes 32 00)
  SL0P  [sp78]  (bytes 3a 00)
  SL0S  [sp78]  (bytes 3c 00)
  SL0W  [sp78]  (bytes 34 00)
  SM0F  [sp78]  (bytes 53 00)
  SM0W  [sp78]  (bytes 59 00)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SPV!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  SRT!  [hex_]  (bytes 00 00 00 00)
  SS0F  [sp78]  (bytes 32 00)
  SS0W  [sp78]  (bytes 34 00)
  Sp2F  [sp78]  (bytes 5a 00)
  Sp2P  [sp78]  (bytes 61 00)
  Sp2S  [sp78]  (bytes 66 00)
  Sp2W  [sp78]  (bytes 5c 00)
  SpCC  [fp6a]  (bytes 64 6b)
  SpCI  [ui8 ]  (bytes 0e)
  SpCP  [fp6a]  (bytes 6b 1c)
  SpCS  [si16]  (bytes 0e c5)
  SpCT  [fpc4]  (bytes 27 63)
  TA0P  [sp78]  (bytes 0d 00)
  TA0V  [sp78]  (bytes 14 57)
  TA0p  [sp78]  (bytes 21 00)
  TC0E  [sp78]  (bytes ca 30)
  TC0F  [sp78]  (bytes cc d4)
  TC0J  [sp78]  (bytes 02 a4)
  TC0L  [ui16]  4 (bytes 00 04)
  TC0P  [sp78]  (bytes 29 60)
  TC0T  [sp78]  (bytes 00 9e)
  TC0c  [sp78]  (bytes 31 00)
  TC0p  [sp78]  (bytes 29 60)
  TC1c  [sp78]  (bytes 30 00)
  TC2c  [sp78]  (bytes 34 00)
  TC3c  [sp78]  (bytes 35 00)
  TCGc  [sp78]  (bytes 35 00)
  TCSc  [sp78]  (bytes 30 00)
  TCXR  [sp78]  (bytes cc f4)
  TCXc  [sp78]  (bytes 35 f4)
  TCXr  [sp78]  (bytes cc f4)
  TG0D  [sp78]  (bytes 2b 00)
  TG0E  [sp78]  (bytes 2b de)
  TG0F  [sp78]  (bytes 2c b2)
  TG0J  [sp78]  (bytes 00 d4)
  TG0L  [ui16]  32 (bytes 00 20)
  TG0T  [sp78]  (bytes ff f2)
  TG0d  [sp78]  (bytes 22 00)
  TG0p  [sp78]  (bytes 26 60)
  TH0A  [sp78]  (bytes 81 00)
