Num: b0=0 b1=0 b2=2 b3=ffffffd3 size=4
  MSXt  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSah  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSbo  [flag]  (bytes 01)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MSt4  [flt ]  (bytes 00 00 00 00)
  MSt5  [flt ]  (bytes 00 00 00 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  0 (bytes 00 00)
  OOBR  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  0 (bytes 00 00)
  OOBW  [ui8 ]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSSS  [ui8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  24 (bytes 00 18)
  PC0C  [sp96]  (bytes 04 b2)
  PC0G  [sp96]  (bytes 00 01)
  PC0I  [sp96]  (bytes 00 29)
  PC0M  [sp96]  (bytes 00 12)
  PC0S  [sp96]  (bytes 00 5b)
  PC20  [sp96]  (bytes 05 fe)
  PCPC  [sp96]  (bytes 04 8e)
  PCPG  [sp96]  (bytes 00 00)
  PCPL  [sp96]  (bytes 10 40)
  PCPR  [sp96]  (bytes 05 8c)
  PCPT  [sp96]  (bytes 04 ab)
  PCTR  [sp96]  (bytes 06 5e)
  PD2R  [sp96]  (bytes 11 fe)
  PDTR  [sp96]  (bytes 11 fe)
  PDTx  [sp96]  (bytes 00 00)
  PG0A  [sp96]  (bytes 00 a3)
  PG0C  [sp96]  (bytes 00 8a)
  PG0I  [sp96]  (bytes 00 39)
  PG0M  [sp96]  (bytes 00 37)
  PG0V  [sp96]  (bytes 00 82)
  PG1A  [sp96]  (bytes 00 bf)
  PG1C  [sp96]  (bytes 01 61)
  PG1F  [sp96]  (bytes 00 d9)
  PGPR  [sp96]  (bytes 01 9f)
  PGTR  [sp96]  (bytes 02 fa)
  PH02  [sp96]  (bytes 00 8f)
  PH05  [sp96]  (bytes 00 3d)
  PH0F  [sp78]  (bytes 08 9a)
  PH0R  [sp96]  (bytes 00 cc)
  PH1F  [sp78]  (bytes 03 6c)
  PH1R  [sp96]  (bytes 00 0f)
  PM0R  [sp96]  (bytes 00 28)
  PM0f  [sp2d]  (bytes 00 94)
  PSTR  [sp96]  (bytes 11 fe)
  PZ0E  [flt ]  (bytes 00 00 34 43)
  PZ0F  [flt ]  (bytes b9 cd 0e 42)
  PZ0G  [flt ]  (bytes e8 89 15 42)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 00 00 c8 42)
  PZ1F  [flt ]  (bytes f6 48 bd 41)
  PZ1G  [flt ]  (bytes 48 d3 cb 41)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  PZ2E  [flt ]  (bytes 00 00 16 43)
  PZ2F  [flt ]  (bytes 09 a9 40 41)
  PZ2G  [flt ]  (bytes 10 81 3e 41)
  PZ2T  [flt ]  (bytes 00 00 00 00)
  PZ3E  [flt ]  (bytes 00 00 16 43)
  PZ3F  [flt ]  (bytes 57 a7 13 40)
  PZ3G  [flt ]  (bytes 00 84 0a 40)
  PZ3T  [flt ]  (bytes 00 00 00 00)
  PZ4E  [flt ]  (bytes f9 ff 05 42)
  PZ4F  [flt ]  (bytes de 71 5e 40)
  PZ4G  [flt ]  (bytes 80 52 59 40)
  PZ4T  [flt ]  (bytes 00 00 00 00)
  PZ5E  [flt ]  (bytes 00 00 9b 43)
  PZ5F  [flt ]  (bytes 19 17 b4 42)
  PZ5G  [flt ]  (bytes 35 8f a0 42)
  PZ5T  [flt ]  (bytes 00 00 00 00)
  PfCP  [sp96]  (bytes 03 7f)
  PfCT  [sp96]  (bytes 05 0c)
  PfGT  [sp96]  (bytes 03 0c)
  PfH1  [sp96]  (bytes 00 0c)
  PfM0  [sp96]  (bytes 00 1c)
  PfST  [sp96]  (bytes 10 b2)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 00 00)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes ff)
  QCLA  [flt ]  (bytes 00 00 00 00)
  QCLE  [flt ]  (bytes 00 00 00 00)
  QCLV  [ui8 ]  0 (bytes 00)
  QCLa  [si8 ]  (bytes ff)
  QCLv  [flt ]  (bytes 00 00 00 00)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  0 (bytes 00)
  QECS  [ui8 ]  0 (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QGEC  [si8 ]  (bytes 00)
  QGFE  [flt ]  (bytes 00 00 00 00)
  QGHA  [flt ]  (bytes 00 00 00 00)
  QGHE  [flt ]  (bytes 00 00 00 00)
  QGHa  [si8 ]  (bytes ff)
  QGLA  [flt ]  (bytes 00 00 00 00)
  QGLE  [flt ]  (bytes 00 00 00 00)
  QGLV  [ui8 ]  0 (bytes 00)
  QGLa  [si8 ]  (bytes ff)
  QGLv  [flt ]  (bytes 00 00 00 00)
  QGPE  [flt ]  (bytes 00 00 00 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes 00 00 00 00)
  QILV  [ui8 ]  0 (bytes 00)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 00 00 00 00)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBr   [ch8*]  (bytes 6a 39 35 6a 39 35 61 6d)
  REV   [{rev]  (bytes 02 33 0f 00 00 10)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6a 39 35 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 33 0f 00 00 10)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 33 0f 00 00 10)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 6e 00)
  SBFE  [flag]  (bytes 01)
  SBFF  [hex_]  (bytes 00 00 00 00)
  SBFL  [hex_]  (bytes 00 00 00 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 7e 18)
  SBFV  [hex_]  (bytes 01 ff 91 ff)
