Num: b0=0 b1=0 b2=2 b3=e size=4
  MPWF  [flag]  (bytes 01)
  MSAL  [hex_]  (bytes 4b)
  MSAP  [ui8 ]  3 (bytes 03)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
  MSFN  [ui8 ]  0 (bytes 00)
  MSFV  [flt ]  (bytes 00 00 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPC  [ui8 ]  25 (bytes 19)
  MSPP  [ui8 ]  0 (bytes 00)
  MSPR  [ui8 ]  0 (bytes 00)
  MSPS  [hex_]  (bytes 00 04)
  MSPT  [hex_]  (bytes 27 12 13 09 00)
  MSPU  [hex_]  (bytes 00 04 06 07 07 07)
  MSQC  [hex_]  (bytes 01 30)
  MSQL  [ui8 ]  0 (bytes 00)
  MSQM  [ui8 ]  4 (bytes 04)
  MSQW  [ui16]  0 (bytes 00 00)
  MSSB  [si8 ]  (bytes 00)
  MSSC  [flag]  (bytes 00)
  MSSD  [si8 ]  (bytes 01)
  MSSP  [si8 ]  (bytes 00)
  MSSS  [ui8 ]  0 (bytes 00)
  MSSW  [flag]  (bytes 00)
  MST3  [ui32]  0 (bytes 00 00 00 00)
  MST6  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
  MSTL  [ui32]  201 (bytes 00 08 99 c9)
  MSTS  [ui8 ]  14 (bytes 0e)
  MSWr  [ui8 ]  112 (bytes 70)
  MSX0  [ui16]  0 (bytes 00 00)
  MSX2  [ui8 ]  0 (bytes 00)
  MSX9  [ui8 ]  0 (bytes 00)
  MSXA  [ch8*]  (bytes 00 00 00 00)
  MSXC  [ui32]  0 (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXH  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d dc ef 00)
  MSXL  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXN  [ui8 ]  31 (bytes 1f)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXT  [ui32]  255 (bytes ff ff ff ff)
  MSXU  [hex_]  (bytes 00 00)
  MSXZ  [flt ]  (bytes 00 00 00 00)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ui32]  0 (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXh  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 00)
  MSXl  [ch8*]  (bytes 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  52 (bytes 34)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSXt  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSbc  [ui8 ]  0 (bytes 00)
  MSlc  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MStc  [ui8 ]  0 (bytes 00)
  MSxb  [hex_]  (bytes 00 00)
  MSxd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSxs  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  N0Tr  [ui8 ]  0 (bytes 00)
  N0Tw  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NESN  [hex_]  (bytes 00 00 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTAP  [flag]  (bytes 01)
  NTOK  [ui8 ]  0 (bytes 00)
  Ns0T  [ui8 ]  1 (bytes 01)
  NsNL  [ui8 ]  1 (bytes 01)
  OSSS  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  38 (bytes 00 26)
  PAPC  [flt ]  (bytes 00 7c c0 3d)
  PC0R  [flt ]  (bytes 92 e3 ec 41)
  PCAC  [flt ]  (bytes 16 57 b9 41)
  PCIC  [flt ]  (bytes 4e 9a 9e 3f)
  PCPC  [sp87]  (bytes 0b 65)
  PCPG  [sp87]  (bytes 00 12)
  PCPR  [flt ]  (bytes 13 bf d5 41)
  PCPT  [sp87]  (bytes 0c d2)
  PCSC  [flt ]  (bytes a6 bb 9a 3f)
  PCTC  [flt ]  (bytes 73 87 2c 3e)
  PCTR  [flt ]  (bytes 50 68 e5 41)
  PD0R  [flt ]  (bytes 66 57 0b 42)
  PE2R  [flt ]  (bytes 7b c2 e2 3c)
  PE3R  [flt ]  (bytes 42 9a 40 3d)
  PETR  [flt ]  (bytes c2 fd 98 3d)
  PH0C  [flt ]  (bytes 54 3b 59 3d)
  PH0R  [flt ]  (bytes e0 3c 0c 3d)
  PHTR  [flt ]  (bytes 0e bc b2 3d)
  PM0C  [flt ]  (bytes 44 10 19 3d)
  PM0R  [flt ]  (bytes b4 82 ef 3f)
  PM0r  [sp78]  (bytes df 01)
  PMTR  [flt ]  (bytes 57 13 79 3f)
  PO3R  [flt ]  (bytes be cb 5f 40)
  PO5R  [flt ]  (bytes 3e ab 9f 3e)
  PSLC  [flt ]  (bytes 3f 6e 8e 3f)
  PSTR  [flt ]  (bytes 66 57 0b 42)
  PU3C  [flt ]  (bytes ed c5 a7 3f)
  PU5C  [flt ]  (bytes ec 0a b2 3d)
  PUAC  [flt ]  (bytes 68 37 db 3c)
  PZ0E  [flt ]  (bytes 00 00 c8 42)
