Num: b0=0 b1=0 b2=3 b3=2 size=4
  Lsma  [ui8 ]  0 (bytes 00 00 00)
  Lsmb  [ui8 ]  0 (bytes 00 00 00)
  Lsmc  [ui8 ]  0 (bytes 00 00 00 00 00)
  Lsmf  [ui8 ]  0 (bytes 00 00 00)
  Lsmg  [ui16]  0 (bytes 00 00)
  Lsmz  [ui8 ]  1 (bytes 01)
  LsrA  [ui16]  0 (bytes 00 00)
  LsrB  [ui8 ]  3 (bytes 03)
  LsrC  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LsrP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LsrQ  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LsrR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LsrT  [ui8 ]  16 (bytes 10)
  LsrU  [ui8 ]  1 (bytes 01)
  LsrV  [ui8 ]  0 (bytes 00)
  LsrW  [ui8 ]  20 (bytes 14)
  LsrX  [ui8 ]  5 (bytes 05)
  LsrY  [ui8 ]  11 (bytes 0b)
  LsrZ  [ui8 ]  10 (bytes 0a)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MDMT  [flag]  (bytes 00)
  MDSC  [hex_]  (bytes 0e)
  MDTC  [hex_]  (bytes 0e)
  MOCF  [si16]  (bytes 84 00)
  MOCN  [ui16]  0 (bytes c0 00)
  MODD  [flag]  (bytes 00)
  MODe  [flt ]  (bytes 3f 80 00 00)
  MODf  [flt ]  (bytes 3f 19 99 9a)
  MODi  [flt ]  (bytes 3f 80 00 00)
  MODl  [flt ]  (bytes 3f 80 00 00)
  MODm  [flt ]  (bytes 3d 80 00 00)
  MODo  [flt ]  (bytes 3f 80 00 00)
  MODq  [flt ]  (bytes 3b 03 12 6f)
  MODr  [flt ]  (bytes 3f 80 00 00)
  MOHD  [ui8 ]  10 (bytes 0a)
  MOHT  [sp78]  (bytes 00 30)
  MOIC  [ui16]  38 (bytes 05 26)
  MOIE  [ui16]  0 (bytes 00 00)
  MOLD  [ui8 ]  10 (bytes 0a)
  MOLT  [sp78]  (bytes 00 20)
  MOST  [ui16]  0 (bytes 80 00)
  MOSX  [flt ]  (bytes 3f 80 00 00)
  MOSY  [flt ]  (bytes 3f 80 00 00)
  MOSZ  [flt ]  (bytes 3f 80 00 00)
  MOTP  [ui8 ]  6 (bytes 06)
  MOTS  [ui8 ]  0 (bytes 00)
  MO_X  [sp3c]  (bytes 00 67)
  MO_Y  [sp3c]  (bytes 00 19)
  MO_Z  [sp3c]  (bytes 0f 63)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAi  [fp88]  (bytes 00 00)
  MSDW  [flag]  (bytes 00)
  MSEE  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
