Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  PZ0F  [sp87]  (bytes 05 73)
  PZ0R  [sp87]  (bytes 05 73)
  PZ1E  [sp87]  (bytes 16 80)
  PZ1F  [sp87]  (bytes 00 0b)
  PZ1R  [sp87]  (bytes 00 0b)
  PZ2E  [sp87]  (bytes 1a 80)
  PZ2F  [sp87]  (bytes 00 09)
  PZ2R  [sp87]  (bytes 00 09)
  PZ3E  [sp87]  (bytes 06 c0)
  PZ3F  [sp87]  (bytes 00 00)
  PZ3R  [sp87]  (bytes 00 00)
  RBr   [ch8*]  (bytes 64 32 00 00 00 00 00 00)
  REV   [{rev]  (bytes 02 03 0f 00 00 32)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 64 32 00 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 02 03 0f 00 00 28)
  RVCR  [{rev]  (bytes ff ff ff ff ff ff)
  RVUF  [{rev]  (bytes 02 03 0f 00 00 28)
  SAS!  [hex_]  (bytes 00 ff ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 02 00)
  SBFE  [flag]  (bytes 01)
  SBFL  [hex_]  (bytes 00 00 02 00)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 00 00)
  SBFV  [hex_]  (bytes 00 00 05 ff)
  SBS!  [ui16]  0 (bytes 00 00)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCIB  [ui32]  0 (bytes 00 01 c2 00)
  SCII  [ui8 ]  3 (bytes 03)
  SCIL  [ui8 ]  0 (bytes 00)
  SCXC  [sp78]  (bytes 69 00)
  SFBR  [ui8 ]  4 (bytes 04)
  SGTC  [ui16]  237 (bytes 04 ed)
  SGTR  [ui8 ]  0 (bytes 00)
  SIS!  [hex_]  (bytes 00 00 00 00)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
