Num: b0=0 b1=0 b2=2 b3=2e size=4
  TG0P  [sp78]  (bytes 2c 80)
  TG0T  [sp78]  (bytes ff f7)
  TG0d  [sp78]  (bytes 2b 00)
  TG0p  [sp78]  (bytes 2c 80)
  TH0A  [sp78]  (bytes 81 00)
  TH0B  [sp78]  (bytes 81 00)
  TH0C  [sp78]  (bytes 81 00)
  TH0F  [sp78]  (bytes 81 00)
  TH0O  [sp78]  (bytes f9 00)
  TH0P  [sp78]  (bytes f9 00)
  TH0R  [sp78]  (bytes 81 00)
  TH0a  [sp78]  (bytes 81 00)
  TH0b  [sp78]  (bytes 81 00)
  TH0c  [sp78]  (bytes 81 00)
  TH0e  [sp78]  (bytes 00 00)
  TH0o  [hex_]  (bytes 00 07)
  TH1A  [sp78]  (bytes 81 00)
  TH1B  [sp78]  (bytes 81 00)
  TH1C  [sp78]  (bytes 81 00)
  TH1F  [sp78]  (bytes 81 00)
  TH1O  [sp78]  (bytes 09 00)
  TH1P  [sp78]  (bytes 81 00)
  TH1R  [sp78]  (bytes 81 00)
  TH1a  [sp78]  (bytes 81 00)
  TH1b  [sp78]  (bytes 81 00)
  TH1c  [sp78]  (bytes 81 00)
  TH1o  [hex_]  (bytes 00 80)
  TL0P  [sp78]  (bytes 25 60)
  TL0V  [sp78]  (bytes 22 eb)
  TL0p  [sp78]  (bytes 25 60)
  TL1P  [sp78]  (bytes 26 80)
  TL1V  [sp78]  (bytes 20 fc)
  TL1p  [sp78]  (bytes 26 80)
  TL1v  [sp78]  (bytes 20 fc)
  TL2p  [sp87]  (bytes c0 80)
  TL3p  [spa5]  (bytes f0 20)
  TM0P  [sp78]  (bytes 27 e0)
  TM0V  [sp78]  (bytes 27 62)
  TM0p  [sp78]  (bytes 27 e0)
  TM1P  [sp78]  (bytes 22 20)
  TM1a  [sp78]  (bytes 27 e4)
  TM1p  [sp78]  (bytes 22 20)
  TM2P  [sp78]  (bytes 24 60)
  TM2a  [sp78]  (bytes 27 62)
  TM2b  [sp78]  (bytes 2a 62)
  TM2c  [sp78]  (bytes 27 62)
  TM2d  [sp78]  (bytes 2a 62)
  TM2p  [sp78]  (bytes 24 60)
  TM3P  [sp78]  (bytes 25 e0)
  TM3a  [sp78]  (bytes 24 62)
  TM3b  [sp78]  (bytes 22 62)
  TM3c  [sp78]  (bytes 26 73)
  TM3d  [sp78]  (bytes 24 62)
  TM3p  [sp78]  (bytes 25 e0)
  TM4a  [sp78]  (bytes 27 a6)
  TMXP  [sp78]  (bytes 27 e0)
  TPCD  [sp78]  (bytes 2e 00)
  TS0V  [sp78]  (bytes 23 5a)
  Tb0P  [sp78]  (bytes 2a a0)
  Tb0p  [sp78]  (bytes 2a a0)
  Tm0P  [sp78]  (bytes 28 80)
  Tm0p  [sp78]  (bytes 28 80)
  Tm1P  [sp78]  (bytes 2a 00)
  Tm1p  [sp78]  (bytes 2a 00)
  Tm2P  [sp78]  (bytes 2f 40)
  Tm2p  [sp78]  (bytes 2f 40)
  Tp2F  [sp78]  (bytes 26 d5)
  Tp2H  [sp78]  (bytes 26 e0)
  Tp2h  [sp78]  (bytes 26 e0)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  0 (bytes 00 00 00 00)
  UPRC  [ui16]  1 (bytes 00 01)
  UREV  [ui8 ]  (bytes a3)
