BootArgs: Version=2, Revision=1, at 0xffffff80213b8000
CommandLine: 
Video: baseAddr=0xb0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x213c1000, length=0x17b4
Kernel image: kaddr=0x1d500000, ksize=0x3f86000
EFI Runtime: Mode=64, PageStart=0x213c3 (0x213c3000), PageCount=0xc0, SystemTable=0x21417e10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_data    0000000079449000 - 000000007944afff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000007944b000 - 0000000079458fff 000000000000000e 0000000000000000 000000000000000f
BS_data    0000000079459000 - 000000007945afff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000007945b000 - 000000007945cfff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000007945d000 - 000000007945dfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007945e000 - 0000000079462fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000079463000 - 0000000079464fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079465000 - 000000007946afff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000007946b000 - 0000000079470fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079471000 - 0000000079471fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079472000 - 0000000079473fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079474000 - 0000000079475fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079476000 - 0000000079477fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079478000 - 0000000079479fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000007947a000 - 000000007947ffff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079480000 - 0000000079481fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079482000 - 0000000079487fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079488000 - 0000000079489fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000007948a000 - 000000007948bfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000007948c000 - 000000007948efff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000007948f000 - 000000007948ffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079490000 - 0000000079490fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079491000 - 0000000079493fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000079494000 - 0000000079496fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079497000 - 0000000079497fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079498000 - 0000000079498fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079499000 - 0000000079499fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007949a000 - 000000007949afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007949b000 - 000000007949dfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007949e000 - 00000000794a2fff 0000000000000005 0000000000000000 000000000000000f
BS_data    00000000794a3000 - 00000000794a6fff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000794a7000 - 00000000794a8fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000794a9000 - 00000000794b0fff 0000000000000008 0000000000000000 000000000000000f
BS_code    00000000794b1000 - 00000000794b1fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000794b2000 - 00000000794b3fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000794b4000 - 00000000794b4fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000794b5000 - 00000000794b8fff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000794b9000 - 00000000794bdfff 0000000000000005 0000000000000000 000000000000000f
BS_data    00000000794be000 - 00000000794d3fff 0000000000000016 0000000000000000 000000000000000f
BS_code    00000000794d4000 - 00000000794e3fff 0000000000000010 0000000000000000 000000000000000f
BS_data    00000000794e4000 - 0000000079503fff 0000000000000020 0000000000000000 000000000000000f
BS_code    0000000079504000 - 0000000079515fff 0000000000000012 0000000000000000 000000000000000f
BS_data    0000000079516000 - 000000007953ffff 000000000000002a 0000000000000000 000000000000000f
BS_code    0000000079540000 - 0000000079542fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079543000 - 0000000079543fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079544000 - 0000000079546fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079547000 - 000000007954ffff 0000000000000009 0000000000000000 000000000000000f
BS_code    0000000079550000 - 0000000079550fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079551000 - 0000000079551fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079552000 - 0000000079553fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079554000 - 000000007956afff 0000000000000017 0000000000000000 000000000000000f
BS_code    000000007956b000 - 0000000079578fff 000000000000000e 0000000000000000 000000000000000f
BS_data    0000000079579000 - 000000007957dfff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000007957e000 - 000000007957efff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007957f000 - 000000007957ffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079580000 - 0000000079583fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000079584000 - 000000007958efff 000000000000000b 0000000000000000 000000000000000f
BS_code    000000007958f000 - 000000007958ffff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079590000 - 0000000079591fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079592000 - 0000000079592fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079593000 - 0000000079596fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000079597000 - 000000007959ffff 0000000000000009 0000000000000000 000000000000000f
BS_data    00000000795a0000 - 00000000795a1fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000795a2000 - 00000000795a4fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000795a5000 - 00000000795a9fff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000795aa000 - 00000000795affff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000795b0000 - 00000000795b7fff 0000000000000008 0000000000000000 000000000000000f
BS_code    00000000795b8000 - 00000000795b8fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000795b9000 - 0000000079604fff 000000000000004c 0000000000000000 000000000000000f
BS_code    0000000079605000 - 0000000079607fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079608000 - 0000000079608fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079609000 - 0000000079609fff 0000000000000001 0000000000000000 000000000000000f
