Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   74    1 0xffffff7f81859000 0x9a000    0x9a000    com.apple.iokit.IOUSBFamily (900.4.2) C1E9B219-D8AB-3481-A8A0-5FB35A046DE5 <21 20 13 8 6 5 3 1>
   75    0 0xffffff7f82be9000 0x6000     0x6000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 591265D8-9E10-3E19-B8FA-476F0F5DF249 <21 20 8 7 6 5 3 1>
   76    0 0xffffff7f8392f000 0xa000     0xa000     com.apple.driver.AppleXsanScheme (3) 3ED8C0A1-974C-3DC8-A68A-AD8B69628CA8 <22 6 5 3 1>
   77    1 0xffffff7f83a6b000 0x125000   0x125000   com.apple.filesystems.apfs (1412.61.1) BFCAECB1-348B-3C39-AAAE-B162D45A401B <34 22 10 8 7 6 5 3 1>
   78    8 0xffffff7f81136000 0xf4000    0xf4000    com.apple.iokit.IOThunderboltFamily (7.4.7) 1893C374-5301-3C12-8065-DCEB50BF7D0B <15 6 5 3 1>
   79    0 0xffffff7f82dea000 0x27000    0x27000    com.apple.driver.AppleThunderboltNHI (5.8.1) 8F108175-E2A8-33FA-93F7-55F2F2964B1B <78 13 12 7 6 5 3 1>
   80    1 0xffffff7f80d4d000 0x8000     0x8000     com.apple.driver.AppleIntelLpssDmac (3.0.60) 31B541EC-B5BF-3D4A-9EB6-1E02FB8F4A04 <13 12 6 5 3>
   81    1 0xffffff7f8111a000 0x19000    0x19000    com.apple.driver.AppleIntelLpssI2CController (3.0.60) 3BD78EF8-3B9C-3233-BC92-B6E839B51C71 <80 64 12 8 6 5 3>
   82    0 0xffffff7f8124c000 0xf000     0xf000     com.apple.driver.AppleHPM (3.4.4) 09061137-FA72-3995-9C6A-B18E44B685B6 <81 78 12 6 5 3 1>
   83    3 0xffffff7f8146d000 0xf000     0xf000     com.apple.driver.AppleThunderboltDPAdapterFamily (6.2.4) AC658283-9A1E-3618-842F-31A32818DE72 <78 12 6 5 3 1>
   84    0 0xffffff7f8147c000 0x6000     0x6000     com.apple.driver.AppleThunderboltDPInAdapter (6.2.4) 9FDBF1C4-5DE8-3B3E-9CF9-F69921EF9A11 <83 78 6 5 3 1>
   85    0 0xffffff7f82405000 0x5000     0x5000     com.apple.driver.AppleThunderboltPCIDownAdapter (2.5.2) 82B6FC58-9512-360D-AE55-45F5C4E71A0A <78 13 6 5 3 1>
   86    4 0xffffff7f81799000 0x45000    0x45000    com.apple.iokit.IOSkywalkFamily (1) 402D50B6-F30F-38C5-A7ED-610AA11F2791 <28 8 7 6 5 3 1>
   87    7 0xffffff7f8171b000 0x2d000    0x2d000    com.apple.driver.corecapture (1.0.4) 5C346ED2-633E-32C2-8BD8-604F7D238B2B <8 7 6 5 3 1>
   88    2 0xffffff7f819a4000 0x162000   0x162000   com.apple.iokit.IO80211FamilyV2 (1200.12.2b1) B2B1D9BA-37A9-3F11-99DE-753D425C1C42 <87 86 32 28 10 8 7 6 5 3 1>
